id,start,end
1000346,2016-01-04 10:00:00,2020-12-31 10:00:00
1000347,2016-01-22 10:00:00,2020-12-31 10:00:00
1000348,2016-01-04 10:00:00,2020-12-31 10:00:00
1000349,2016-01-04 10:00:00,2020-12-31 10:00:00
1000350,2016-01-18 10:00:00,2020-12-31 10:00:00
1000351,2016-01-04 10:00:00,2020-12-31 10:00:00
1000352,2016-01-04 10:00:00,2020-12-31 10:00:00
1000354,2016-01-04 10:00:00,2020-12-31 10:00:00
1000355,2016-01-04 10:00:00,2020-11-05 10:00:00
1000356,2016-01-04 10:00:00,2020-03-19 10:00:00
1000357,2016-01-04 10:00:00,2020-12-30 10:00:00
1000358,2016-01-04 10:00:00,2020-12-31 10:00:00
1000359,2016-01-04 10:00:00,2020-12-31 10:00:00
1000360,2016-01-04 10:00:00,2020-12-31 10:00:00
1000361,2016-01-04 10:00:00,2020-12-31 10:00:00
1000363,2016-01-04 10:00:00,2020-12-31 10:00:00
1000364,2016-04-21 10:00:00,2020-12-31 10:00:00
1000365,2016-01-04 10:00:00,2020-12-31 10:00:00
1000366,2016-01-04 10:00:00,2020-12-31 10:00:00
1000368,2016-01-19 10:00:00,2020-12-31 10:00:00
1000369,2016-01-04 10:00:00,2020-10-30 10:00:00
1000370,2016-06-21 10:00:00,2020-12-31 10:00:00
1000371,2016-01-04 10:00:00,2020-12-31 10:00:00
1000372,2016-01-04 10:00:00,2020-12-31 10:00:00
1000373,2016-01-04 10:00:00,2020-12-31 10:00:00
1000374,2016-01-04 10:00:00,2020-12-31 10:00:00
1000375,2016-01-04 10:00:00,2020-12-31 10:00:00
1000376,2016-01-04 10:00:00,2020-12-31 10:00:00
1000377,2016-01-04 10:00:00,2020-12-31 10:00:00
1000378,2016-01-04 10:00:00,2020-12-31 10:00:00
1000379,2016-01-04 10:00:00,2020-12-31 10:00:00
1000380,2016-01-04 10:00:00,2020-12-31 10:00:00
1000381,2016-01-04 10:00:00,2020-12-31 10:00:00
1000382,2016-01-04 10:00:00,2020-12-31 10:00:00
1000383,2016-01-04 10:00:00,2020-12-31 10:00:00
1000384,2016-01-04 10:00:00,2020-12-31 10:00:00
1000386,2016-01-04 10:00:00,2020-12-31 10:00:00
1000387,2016-01-04 10:00:00,2020-12-31 10:00:00
1000388,2016-01-04 10:00:00,2020-12-31 10:00:00
1000389,2016-03-03 10:00:00,2020-12-31 10:00:00
1000390,2016-01-04 10:00:00,2020-12-31 10:00:00
1000391,2016-01-04 10:00:00,2020-12-31 10:00:00
1000392,2016-01-04 10:00:00,2020-12-31 10:00:00
1000393,2016-01-04 10:00:00,2020-12-31 10:00:00
1000394,2016-01-04 10:00:00,2020-12-31 10:00:00
1000395,2016-01-04 10:00:00,2020-12-31 10:00:00
1000396,2016-01-04 10:00:00,2020-12-31 10:00:00
1000397,2016-01-04 10:00:00,2020-12-31 10:00:00
1000398,2016-01-04 10:00:00,2020-12-31 10:00:00
1000399,2016-01-04 10:00:00,2020-12-31 10:00:00
1000400,2016-01-04 10:00:00,2020-12-31 10:00:00
1000401,2016-01-04 10:00:00,2020-09-29 10:00:00
1000402,2016-01-04 10:00:00,2020-12-31 10:00:00
1000403,2016-01-04 10:00:00,2020-12-31 10:00:00
1000404,2016-01-04 10:00:00,2020-12-31 10:00:00
1000405,2016-01-04 10:00:00,2020-12-31 10:00:00
1000406,2016-01-04 10:00:00,2020-12-31 10:00:00
1000407,2016-01-04 10:00:00,2020-12-31 10:00:00
1000408,2016-01-04 10:00:00,2020-12-31 10:00:00
1000409,2016-02-18 10:00:00,2020-12-31 10:00:00
1000410,2016-01-04 10:00:00,2020-12-31 10:00:00
1000411,2016-01-04 10:00:00,2020-12-31 10:00:00
1000412,2016-01-04 10:00:00,2020-12-31 10:00:00
1000413,2016-01-04 10:00:00,2020-12-31 10:00:00
1000414,2016-01-04 10:00:00,2020-12-31 10:00:00
1000415,2016-01-25 10:00:00,2020-12-31 10:00:00
1000416,2016-01-04 10:00:00,2020-12-31 10:00:00
1000417,2016-01-04 10:00:00,2020-12-31 10:00:00
1000418,2016-01-04 10:00:00,2020-12-31 10:00:00
1000419,2016-01-04 10:00:00,2020-12-31 10:00:00
1000420,2016-01-04 10:00:00,2020-12-31 10:00:00
1000421,2016-01-04 10:00:00,2017-12-01 10:00:00
1000422,2016-01-04 10:00:00,2020-12-31 10:00:00
1000423,2016-01-04 10:00:00,2020-12-31 10:00:00
1000424,2016-01-04 10:00:00,2020-12-31 10:00:00
1000425,2016-01-04 10:00:00,2020-12-31 10:00:00
1000426,2016-01-04 10:00:00,2020-12-31 10:00:00
1000427,2016-01-04 10:00:00,2020-12-31 10:00:00
1000428,2016-01-04 10:00:00,2020-12-31 10:00:00
1000429,2016-05-17 10:00:00,2020-12-31 10:00:00
1000430,2016-01-04 10:00:00,2020-12-31 10:00:00
1000431,2016-01-04 10:00:00,2020-12-29 10:00:00
1000432,2016-01-04 10:00:00,2020-12-31 10:00:00
1000433,2016-04-25 10:00:00,2020-12-31 10:00:00
1000434,2016-01-04 10:00:00,2020-12-31 10:00:00
1000435,2016-01-04 10:00:00,2020-12-31 10:00:00
1000436,2016-01-04 10:00:00,2020-12-31 10:00:00
1000437,2016-01-04 10:00:00,2020-12-31 10:00:00
1000438,2016-01-04 10:00:00,2020-12-31 10:00:00
1000439,2016-01-04 10:00:00,2020-12-31 10:00:00
1000440,2016-01-04 10:00:00,2020-12-31 10:00:00
1000441,2016-01-04 10:00:00,2020-12-31 10:00:00
1000442,2016-01-04 10:00:00,2019-04-25 10:00:00
1000443,2016-01-04 10:00:00,2020-12-31 10:00:00
1000444,2016-01-04 10:00:00,2020-12-31 10:00:00
1000445,2016-01-04 10:00:00,2020-12-31 10:00:00
1000446,2016-01-04 10:00:00,2020-12-31 10:00:00
1000447,2016-01-04 10:00:00,2020-12-31 10:00:00
1000448,2016-01-04 10:00:00,2020-09-16 10:00:00
1000449,2016-01-04 10:00:00,2020-12-31 10:00:00
1000451,2016-01-04 10:00:00,2020-12-31 10:00:00
1000452,2016-01-04 10:00:00,2020-12-31 10:00:00
1000453,2016-01-04 10:00:00,2020-12-31 10:00:00
1000454,2016-01-04 10:00:00,2020-12-31 10:00:00
1000455,2016-01-04 10:00:00,2020-12-31 10:00:00
1000456,2016-01-04 10:00:00,2020-12-31 10:00:00
1000457,2016-01-04 10:00:00,2020-12-31 10:00:00
1000458,2016-01-04 10:00:00,2020-12-31 10:00:00
1000459,2016-01-04 10:00:00,2020-12-31 10:00:00
1000460,2016-01-04 10:00:00,2020-12-31 10:00:00
1000461,2016-07-13 10:00:00,2020-12-31 10:00:00
1000462,2016-01-04 10:00:00,2020-12-31 10:00:00
1000463,2016-01-04 10:00:00,2020-12-31 10:00:00
1000464,2016-01-06 10:00:00,2020-09-18 10:00:00
1000465,2016-01-25 10:00:00,2018-09-06 10:00:00
1000466,2016-02-24 10:00:00,2020-12-31 10:00:00
1000467,2016-01-04 10:00:00,2020-12-31 10:00:00
1000468,2016-01-04 10:00:00,2020-12-31 10:00:00
1000469,2016-01-04 10:00:00,2020-12-31 10:00:00
1000470,2016-01-04 10:00:00,2020-12-31 10:00:00
1000471,2016-01-04 10:00:00,2018-10-17 10:00:00
